date,region,rep,channel,units,revenue
2026-07-18,East,Ada Okafor,web,709,28360.00
2026-07-18,North,Ben Iyer,direct,571,22840.00
2026-07-18,South,Ben Iyer,partner,475,19000.00
2026-07-18,West,Cai Moreau,web,259,10360.00
2026-07-18,East,Cai Moreau,direct,593,23720.00
2026-07-18,North,Dara Nkemi,partner,"1,657",66280.00
2026-07-18,South,Dara Nkemi,web,305,12200.00
2026-07-18,West,Ada Okafor,direct,"1,656",66240.00
2026-07-18,East,Ada Okafor,partner,"1,445",57800.00
2026-07-18,North,Ben Iyer,web,358,14320.00
2026-07-18,South,Ben Iyer,direct,"2,078",83120.00
2026-07-18,West,Cai Moreau,partner,891,35640.00
2026-07-18,East,Cai Moreau,web,"1,177",47080.00
2026-07-18,North,Dara Nkemi,direct,"1,857",74280.00
2026-07-18,South,Dara Nkemi,partner,"1,701",68040.00
2026-07-18,West,Ada Okafor,web,623,24920.00
2026-07-18,East,Ada Okafor,direct,"1,686",67440.00
2026-07-18,North,Ben Iyer,partner,462,18480.00
2026-07-18,South,Ben Iyer,web,"1,242",49680.00
2026-07-18,West,Cai Moreau,direct,"1,339",53560.00
2026-07-18,East,Cai Moreau,partner,889,35560.00
2026-07-18,North,Dara Nkemi,web,441,17640.00
2026-07-18,South,Dara Nkemi,direct,"2,523",100920.00
2026-07-18,West,Ada Okafor,partner,451,18040.00
2026-07-18,East,Ada Okafor,web,323,12920.00
2026-07-19,North,Ben Iyer,direct,"1,827",73080.00
2026-07-19,South,Ben Iyer,partner,441,17640.00
2026-07-19,West,Cai Moreau,web,"2,508",100320.00
2026-07-19,East,Cai Moreau,direct,929,37160.00
2026-07-19,North,Dara Nkemi,partner,562,22480.00
2026-07-19,South,Dara Nkemi,web,753,30120.00
2026-07-19,West,Ada Okafor,direct,"2,458",98320.00
2026-07-19,East,Ada Okafor,partner,"2,475",99000.00
2026-07-19,North,Ben Iyer,web,"1,148",45920.00
2026-07-19,South,Ben Iyer,direct,"1,829",73160.00
2026-07-19,West,Cai Moreau,partner,"2,228",89120.00
2026-07-19,East,Cai Moreau,web,535,21400.00
2026-07-19,North,Dara Nkemi,direct,996,39840.00
2026-07-19,South,Dara Nkemi,partner,"1,483",59320.00
2026-07-19,West,Ada Okafor,web,"1,643",65720.00
2026-07-19,East,Ada Okafor,direct,"1,191",47640.00
2026-07-19,North,Ben Iyer,partner,"1,759",70360.00
2026-07-19,South,Ben Iyer,web,655,26200.00
2026-07-19,West,Cai Moreau,direct,745,29800.00
2026-07-19,East,Cai Moreau,partner,465,18600.00
2026-07-19,North,Dara Nkemi,web,"1,831",73240.00
2026-07-19,South,Dara Nkemi,direct,"1,765",70600.00
2026-07-19,West,Ada Okafor,partner,383,15320.00
2026-07-19,East,Ada Okafor,web,525,21000.00
2026-07-19,North,Ben Iyer,direct,997,39880.00
2026-07-19,South,Ben Iyer,partner,"2,113",84520.00
2026-07-19,West,Cai Moreau,web,"2,364",94560.00
2026-07-19,East,Cai Moreau,direct,"1,376",55040.00
2026-07-19,North,Dara Nkemi,partner,"2,416",96640.00
2026-07-19,South,Dara Nkemi,web,"2,079",83160.00
2026-07-19,West,Ada Okafor,direct,"1,585",63400.00
2026-07-19,East,Ada Okafor,partner,"2,209",88360.00
2026-07-19,North,Ben Iyer,web,324,12960.00
2026-07-19,South,Ben Iyer,direct,"2,575",103000.00
2026-07-19,West,Cai Moreau,partner,"1,024",40960.00
2026-07-19,East,Cai Moreau,web,"2,257",90280.00
2026-07-19,North,Dara Nkemi,direct,983,39320.00
2026-07-19,South,Dara Nkemi,partner,"2,374",94960.00
2026-07-19,West,Ada Okafor,web,"1,413",56520.00
2026-07-19,East,Ada Okafor,direct,615,24600.00
2026-07-19,North,Ben Iyer,partner,"1,367",54680.00
2026-07-19,South,Ben Iyer,web,878,35120.00
2026-07-19,West,Cai Moreau,direct,"1,198",47920.00
2026-07-19,East,Cai Moreau,partner,633,25320.00
2026-07-19,North,Dara Nkemi,web,"1,382",55280.00
2026-07-19,South,Dara Nkemi,direct,670,26800.00
2026-07-19,West,Ada Okafor,partner,"1,806",72240.00
2026-07-19,East,Ada Okafor,web,822,32880.00
2026-07-19,North,Ben Iyer,direct,192,7680.00
2026-07-19,South,Ben Iyer,partner,812,32480.00
2026-07-19,West,Cai Moreau,web,"1,222",48880.00
2026-07-19,East,Cai Moreau,direct,929,37160.00
2026-07-19,North,Dara Nkemi,partner,"1,131",45240.00
2026-07-20,South,Dara Nkemi,web,"2,472",98880.00
2026-07-20,West,Ada Okafor,direct,"2,401",96040.00
2026-07-20,East,Ada Okafor,partner,"2,175",87000.00
2026-07-20,North,Ben Iyer,web,"1,978",79120.00
2026-07-20,South,Ben Iyer,direct,490,19600.00
2026-07-20,West,Cai Moreau,partner,"2,496",99840.00
2026-07-20,East,Cai Moreau,web,"1,602",64080.00
2026-07-20,North,Dara Nkemi,direct,"1,403",56120.00
2026-07-20,South,Dara Nkemi,partner,"2,301",92040.00
2026-07-20,West,Ada Okafor,web,"1,498",59920.00
2026-07-20,East,Ada Okafor,direct,"1,286",51440.00
2026-07-20,North,Ben Iyer,partner,"2,316",92640.00
2026-07-20,South,Ben Iyer,web,"1,537",61480.00
2026-07-20,West,Cai Moreau,direct,"2,576",103040.00
2026-07-20,East,Cai Moreau,partner,492,19680.00
2026-07-20,North,Dara Nkemi,web,"1,833",73320.00
2026-07-20,South,Dara Nkemi,direct,"1,352",54080.00
2026-07-20,West,Ada Okafor,partner,"2,349",93960.00
2026-07-20,East,Ada Okafor,web,868,34720.00
2026-07-20,North,Ben Iyer,direct,559,22360.00
2026-07-20,South,Ben Iyer,partner,"1,450",58000.00
2026-07-20,West,Cai Moreau,web,"1,996",79840.00
2026-07-20,East,Cai Moreau,direct,962,38480.00
2026-07-20,North,Dara Nkemi,partner,"1,006",40240.00
2026-07-20,South,Dara Nkemi,web,582,23280.00
2026-07-20,West,Ada Okafor,direct,"2,351",94040.00
2026-07-20,East,Ada Okafor,partner,"1,253",50120.00
2026-07-20,North,Ben Iyer,web,"2,123",84920.00
2026-07-20,South,Ben Iyer,direct,"2,208",88320.00
2026-07-20,West,Cai Moreau,partner,"1,622",64880.00
2026-07-20,East,Cai Moreau,web,190,7600.00
2026-07-20,North,Dara Nkemi,direct,"1,636",65440.00
2026-07-20,South,Dara Nkemi,partner,"2,596",103840.00
2026-07-20,West,Ada Okafor,web,553,22120.00
2026-07-20,East,Ada Okafor,direct,"2,456",98240.00
2026-07-20,North,Ben Iyer,partner,536,21440.00
2026-07-20,South,Ben Iyer,web,690,27600.00
2026-07-20,West,Cai Moreau,direct,539,21560.00
2026-07-20,East,Cai Moreau,partner,"1,983",79320.00
2026-07-20,North,Dara Nkemi,web,"1,120",44800.00
2026-07-20,South,Dara Nkemi,direct,900,36000.00
2026-07-20,West,Ada Okafor,partner,"1,404",56160.00
2026-07-20,East,Ada Okafor,web,"1,051",42040.00
2026-07-20,North,Ben Iyer,direct,"1,046",41840.00
2026-07-20,South,Ben Iyer,partner,"2,377",95080.00
2026-07-20,West,Cai Moreau,web,500,20000.00
2026-07-20,East,Cai Moreau,direct,"1,439",57560.00
2026-07-20,North,Dara Nkemi,partner,903,36120.00
2026-07-20,South,Dara Nkemi,web,"2,560",102400.00
2026-07-20,West,Ada Okafor,direct,483,19320.00
2026-07-20,East,Ada Okafor,partner,"2,280",91200.00
2026-07-20,North,Ben Iyer,web,"1,054",42160.00
2026-07-20,South,Ben Iyer,direct,"2,186",87440.00
2026-07-21,West,Cai Moreau,partner,"1,146",45840.00
2026-07-21,East,Cai Moreau,web,"1,291",51640.00
2026-07-21,North,Dara Nkemi,direct,229,9160.00
2026-07-21,South,Dara Nkemi,partner,"1,600",64000.00
2026-07-21,West,Ada Okafor,web,"1,870",74800.00
2026-07-21,East,Ada Okafor,direct,"1,547",61880.00
2026-07-21,North,Ben Iyer,partner,735,29400.00
2026-07-21,South,Ben Iyer,web,730,29200.00
2026-07-21,West,Cai Moreau,direct,"1,640",65600.00
2026-07-21,East,Cai Moreau,partner,"2,161",86440.00
2026-07-21,North,Dara Nkemi,web,"2,328",93120.00
2026-07-21,South,Dara Nkemi,direct,449,17960.00
2026-07-21,West,Ada Okafor,partner,"2,594",103760.00
2026-07-21,East,Ada Okafor,web,482,19280.00
2026-07-21,North,Ben Iyer,direct,"2,287",91480.00
2026-07-21,South,Ben Iyer,partner,295,11800.00
2026-07-21,West,Cai Moreau,web,"1,423",56920.00
2026-07-21,East,Cai Moreau,direct,"1,387",55480.00
2026-07-21,North,Dara Nkemi,partner,660,26400.00
2026-07-21,South,Dara Nkemi,web,767,30680.00
2026-07-21,West,Ada Okafor,direct,830,33200.00
2026-07-21,East,Ada Okafor,partner,"1,872",74880.00
2026-07-21,North,Ben Iyer,web,809,32360.00
2026-07-21,South,Ben Iyer,direct,"1,544",61760.00
2026-07-21,West,Cai Moreau,partner,703,28120.00
2026-07-21,East,Cai Moreau,web,"2,317",92680.00
2026-07-21,North,Dara Nkemi,direct,"1,994",79760.00
2026-07-21,South,Dara Nkemi,partner,422,16880.00
2026-07-21,West,Ada Okafor,web,"1,235",49400.00
2026-07-21,East,Ada Okafor,direct,"2,239",89560.00
2026-07-21,North,Ben Iyer,partner,744,29760.00
2026-07-21,South,Ben Iyer,web,"2,258",90320.00
2026-07-21,West,Cai Moreau,direct,"1,857",74280.00
2026-07-21,East,Cai Moreau,partner,"2,480",99200.00
2026-07-21,North,Dara Nkemi,web,473,18920.00
2026-07-21,South,Dara Nkemi,direct,"1,133",45320.00
2026-07-21,West,Ada Okafor,partner,"2,008",80320.00
2026-07-21,East,Ada Okafor,web,380,15200.00
2026-07-21,North,Ben Iyer,direct,"2,523",100920.00
2026-07-21,South,Ben Iyer,partner,"2,363",94520.00
2026-07-21,West,Cai Moreau,web,"1,032",41280.00
2026-07-21,East,Cai Moreau,direct,274,10960.00
2026-07-21,North,Dara Nkemi,partner,469,18760.00
2026-07-21,South,Dara Nkemi,web,"1,099",43960.00
2026-07-21,West,Ada Okafor,direct,"2,318",92720.00
2026-07-21,East,Ada Okafor,partner,850,34000.00
2026-07-21,North,Ben Iyer,web,320,12800.00
2026-07-21,South,Ben Iyer,direct,904,36160.00
2026-07-21,West,Cai Moreau,partner,"2,464",98560.00
2026-07-21,East,Cai Moreau,web,"2,313",92520.00
2026-07-21,North,Dara Nkemi,direct,"1,983",79320.00
2026-07-21,South,Dara Nkemi,partner,545,21800.00
2026-07-21,West,Ada Okafor,web,"2,359",94360.00
2026-07-22,East,Ada Okafor,direct,908,36320.00
2026-07-22,North,Ben Iyer,partner,"2,034",81360.00
2026-07-22,South,Ben Iyer,web,756,30240.00
2026-07-22,West,Cai Moreau,direct,"1,802",72080.00
2026-07-22,East,Cai Moreau,partner,"2,003",80120.00
2026-07-22,North,Dara Nkemi,web,764,30560.00
2026-07-22,South,Dara Nkemi,direct,245,9800.00
2026-07-22,West,Ada Okafor,partner,"1,076",43040.00
2026-07-22,East,Ada Okafor,web,824,32960.00
2026-07-22,North,Ben Iyer,direct,"2,311",92440.00
2026-07-22,South,Ben Iyer,partner,"2,291",91640.00
2026-07-22,West,Cai Moreau,web,"1,122",44880.00
2026-07-22,East,Cai Moreau,direct,614,24560.00
2026-07-22,North,Dara Nkemi,partner,"1,075",43000.00
2026-07-22,South,Dara Nkemi,web,"1,282",51280.00
2026-07-22,West,Ada Okafor,direct,820,32800.00
2026-07-22,East,Ada Okafor,partner,"2,172",86880.00
2026-07-22,North,Ben Iyer,web,"2,354",94160.00
2026-07-22,South,Ben Iyer,direct,992,39680.00
2026-07-22,West,Cai Moreau,partner,313,12520.00
2026-07-22,East,Cai Moreau,web,734,29360.00
2026-07-22,North,Dara Nkemi,direct,"1,130",45200.00
2026-07-22,South,Dara Nkemi,partner,834,33360.00
2026-07-22,West,Ada Okafor,web,436,17440.00
2026-07-22,East,Ada Okafor,direct,"1,495",59800.00
2026-07-22,North,Ben Iyer,partner,612,24480.00
2026-07-22,South,Ben Iyer,web,"2,360",94400.00
2026-07-22,West,Cai Moreau,direct,"2,544",101760.00
2026-07-22,East,Cai Moreau,partner,"2,381",95240.00
2026-07-22,North,Dara Nkemi,web,211,8440.00
2026-07-22,South,Dara Nkemi,direct,273,10920.00
2026-07-22,West,Ada Okafor,partner,240,9600.00
2026-07-22,East,Ada Okafor,web,"1,454",58160.00
2026-07-22,North,Ben Iyer,direct,"1,590",63600.00
2026-07-22,South,Ben Iyer,partner,"1,791",71640.00
2026-07-22,West,Cai Moreau,web,"1,680",67200.00
2026-07-22,East,Cai Moreau,direct,"1,736",69440.00
2026-07-22,North,Dara Nkemi,partner,"1,352",54080.00
2026-07-22,South,Dara Nkemi,web,681,27240.00
2026-07-22,West,Ada Okafor,direct,768,30720.00
2026-07-22,East,Ada Okafor,partner,"1,414",56560.00
2026-07-22,North,Ben Iyer,web,"2,199",87960.00
2026-07-22,South,Ben Iyer,direct,"1,953",78120.00
2026-07-22,West,Cai Moreau,partner,"1,990",79600.00
2026-07-22,East,Cai Moreau,web,"2,426",97040.00
2026-07-22,North,Dara Nkemi,direct,859,34360.00
2026-07-22,South,Dara Nkemi,partner,361,14440.00
2026-07-22,West,Ada Okafor,web,968,38720.00
2026-07-22,East,Ada Okafor,direct,"1,271",50840.00
2026-07-22,North,Ben Iyer,partner,"1,795",71800.00
2026-07-22,South,Ben Iyer,web,"1,922",76880.00
2026-07-22,West,Cai Moreau,direct,"1,928",77120.00
2026-07-22,East,Cai Moreau,partner,"1,946",77840.00
2026-07-23,North,Dara Nkemi,web,"2,572",102880.00
2026-07-23,South,Dara Nkemi,direct,729,29160.00
2026-07-23,West,Ada Okafor,partner,"1,167",46680.00
2026-07-23,East,Ada Okafor,web,199,7960.00
2026-07-23,North,Ben Iyer,direct,"2,457",98280.00
2026-07-23,South,Ben Iyer,partner,"2,207",88280.00
2026-07-23,West,Cai Moreau,web,"2,376",95040.00
2026-07-23,East,Cai Moreau,direct,"1,134",45360.00
2026-07-23,North,Dara Nkemi,partner,"2,268",90720.00
2026-07-23,South,Dara Nkemi,web,"1,454",58160.00
2026-07-23,West,Ada Okafor,direct,"1,984",79360.00
2026-07-23,East,Ada Okafor,partner,"1,026",41040.00
2026-07-23,North,Ben Iyer,web,"1,108",44320.00
2026-07-23,South,Ben Iyer,direct,"1,571",62840.00
2026-07-23,West,Cai Moreau,partner,"1,159",46360.00
2026-07-23,East,Cai Moreau,web,"1,846",73840.00
2026-07-23,North,Dara Nkemi,direct,"2,083",83320.00
2026-07-23,South,Dara Nkemi,partner,"1,483",59320.00
2026-07-23,West,Ada Okafor,web,"2,291",91640.00
2026-07-23,East,Ada Okafor,direct,"2,356",94240.00
2026-07-23,North,Ben Iyer,partner,213,8520.00
2026-07-23,South,Ben Iyer,web,"1,637",65480.00
2026-07-23,West,Cai Moreau,direct,"1,463",58520.00
2026-07-23,East,Cai Moreau,partner,307,12280.00
2026-07-23,North,Dara Nkemi,web,"1,974",78960.00
2026-07-23,South,Dara Nkemi,direct,962,38480.00
2026-07-23,West,Ada Okafor,partner,200,8000.00
2026-07-23,East,Ada Okafor,web,488,19520.00
2026-07-23,North,Ben Iyer,direct,417,16680.00
2026-07-23,South,Ben Iyer,partner,"1,010",40400.00
2026-07-23,West,Cai Moreau,web,"1,779",71160.00
2026-07-23,East,Cai Moreau,direct,259,10360.00
2026-07-23,North,Dara Nkemi,partner,252,10080.00
2026-07-23,South,Dara Nkemi,web,"2,588",103520.00
2026-07-23,West,Ada Okafor,direct,532,21280.00
2026-07-23,East,Ada Okafor,partner
2026-07-23,North,Ben Iyer,web,981,39240.00
2026-07-23,South,Ben Iyer,direct,619,24760.00
2026-07-23,West,Cai Moreau,partner,"1,322",52880.00
2026-07-23,East,Cai Moreau,web,398,15920.00
2026-07-23,North,Dara Nkemi,direct,821,32840.00
2026-07-23,South,Dara Nkemi,partner,"1,441",57640.00
2026-07-23,West,Ada Okafor,web,"2,249",89960.00
2026-07-23,East,Ada Okafor,direct,"2,371",94840.00
2026-07-23,North,Ben Iyer,partner,"1,229",49160.00
2026-07-23,South,Ben Iyer,web,"2,221",88840.00
2026-07-23,West,Cai Moreau,direct,"1,145",45800.00
2026-07-23,East,Cai Moreau,partner,"2,593",103720.00
2026-07-23,North,Dara Nkemi,web,265,10600.00
2026-07-23,South,Dara Nkemi,direct,225,9000.00
2026-07-23,West,Ada Okafor,partner,"1,240",49600.00
2026-07-23,East,Ada Okafor,web,"2,126",85040.00
2026-07-23,North,Ben Iyer,direct,"1,463",58520.00
2026-07-24,South,Ben Iyer,partner,388,15520.00
2026-07-24,West,Cai Moreau,web,"2,357",94280.00
2026-07-24,East,Cai Moreau,direct,884,35360.00
2026-07-24,North,Dara Nkemi,partner,392,15680.00
2026-07-24,South,Dara Nkemi,web,384,15360.00
2026-07-24,West,Ada Okafor,direct,"1,846",73840.00
2026-07-24,East,Ada Okafor,partner,"1,479",59160.00
2026-07-24,North,Ben Iyer,web,"1,316",52640.00
2026-07-24,South,Ben Iyer,direct,"1,687",67480.00
2026-07-24,West,Cai Moreau,partner,601,24040.00
2026-07-24,East,Cai Moreau,web,368,14720.00
2026-07-24,North,Dara Nkemi,direct,"1,142",45680.00
2026-07-24,South,Dara Nkemi,partner,304,12160.00
2026-07-24,West,Ada Okafor,web,"1,655",66200.00
2026-07-24,East,Ada Okafor,direct,394,15760.00
2026-07-24,North,Ben Iyer,partner,"2,381",95240.00
2026-07-24,South,Ben Iyer,web,"1,448",57920.00
2026-07-24,West,Cai Moreau,direct,"1,405",56200.00
2026-07-24,East,Cai Moreau,partner,"1,951",78040.00
2026-07-24,North,Dara Nkemi,web,"1,039",41560.00
2026-07-24,South,Dara Nkemi,direct,"2,536",101440.00
2026-07-24,West,Ada Okafor,partner,568,22720.00
2026-07-24,East,Ada Okafor,web,"2,383",95320.00
2026-07-24,North,Ben Iyer,direct,329,13160.00
2026-07-24,South,Ben Iyer,partner,"2,305",92200.00
2026-07-24,West,Cai Moreau,web,"2,391",95640.00
2026-07-24,East,Cai Moreau,direct,669,26760.00
2026-07-24,North,Dara Nkemi,partner,"1,399",55960.00
2026-07-24,South,Dara Nkemi,web,"1,734",69360.00
2026-07-24,West,Ada Okafor,direct,"1,255",50200.00
2026-07-24,East,Ada Okafor,partner,728,29120.00
2026-07-24,North,Ben Iyer,web,"1,433",57320.00
2026-07-24,South,Ben Iyer,direct,538,21520.00
2026-07-24,West,Cai Moreau,partner,"2,315",92600.00
2026-07-24,East,Cai Moreau,web,"1,659",66360.00
2026-07-24,North,Dara Nkemi,direct,"1,979",79160.00
2026-07-24,South,Dara Nkemi,partner,"2,259",90360.00
2026-07-24,West,Ada Okafor,web,253,10120.00
2026-07-24,East,Ada Okafor,direct,678,27120.00
2026-07-24,North,Ben Iyer,partner,"2,581",103240.00
2026-07-24,South,Ben Iyer,web,"2,112",84480.00
2026-07-24,West,Cai Moreau,direct,"1,334",53360.00
2026-07-24,East,Cai Moreau,partner,680,27200.00
2026-07-24,North,Dara Nkemi,web,925,37000.00
2026-07-24,South,Dara Nkemi,direct,"2,079",83160.00
2026-07-24,West,Ada Okafor,partner,"2,109",84360.00
2026-07-24,East,Ada Okafor,web,"2,320",92800.00
2026-07-24,North,Ben Iyer,direct,872,34880.00
2026-07-24,South,Ben Iyer,partner,"2,236",89440.00
2026-07-24,West,Cai Moreau,web,615,24600.00
2026-07-24,East,Cai Moreau,direct,"1,004",40160.00
2026-07-24,North,Dara Nkemi,partner,"2,388",95520.00
2026-07-24,South,Dara Nkemi,web,"1,057",42280.00
2026-07-25,West,Ada Okafor,direct,"1,809",72360.00
2026-07-25,East,Ada Okafor,partner,"1,554",62160.00
2026-07-25,North,Ben Iyer,web,"2,063",82520.00
2026-07-25,South,Ben Iyer,direct,"1,817",72680.00
2026-07-25,West,Cai Moreau,partner,"1,875",75000.00
2026-07-25,East,Cai Moreau,web,387,15480.00
2026-07-25,North,Dara Nkemi,direct,"2,279",91160.00
2026-07-25,South,Dara Nkemi,partner,"2,301",92040.00
2026-07-25,West,Ada Okafor,web,"1,648",65920.00
2026-07-25,East,Ada Okafor,direct,"2,434",97360.00
2026-07-25,North,Ben Iyer,partner,840,33600.00
2026-07-25,South,Ben Iyer,web,"1,139",45560.00
2026-07-25,West,Cai Moreau,direct,"2,477",99080.00
2026-07-25,East,Cai Moreau,partner,848,33920.00
2026-07-25,North,Dara Nkemi,web,"1,975",79000.00
2026-07-25,South,Dara Nkemi,direct,628,25120.00
2026-07-25,West,Ada Okafor,partner,"1,739",69560.00
2026-07-25,East,Ada Okafor,web,"2,589",103560.00
2026-07-25,North,Ben Iyer,direct,"1,618",64720.00
2026-07-25,South,Ben Iyer,partner,"1,973",78920.00
2026-07-25,West,Cai Moreau,web,267,10680.00
2026-07-25,East,Cai Moreau,direct,549,21960.00
2026-07-25,North,Dara Nkemi,partner,"1,217",48680.00
2026-07-25,South,Dara Nkemi,web,575,23000.00
2026-07-25,West,Ada Okafor,direct,731,29240.00
2026-07-25,East,Ada Okafor,partner,363,14520.00
2026-07-25,North,Ben Iyer,web,"1,225",49000.00
2026-07-25,South,Ben Iyer,direct,"2,521",100840.00
2026-07-25,West,Cai Moreau,partner,855,34200.00
2026-07-25,East,Cai Moreau,web,"1,496",59840.00
2026-07-25,North,Dara Nkemi,direct,"1,110",44400.00
2026-07-25,South,Dara Nkemi,partner,510,20400.00
2026-07-25,West,Ada Okafor,web,"1,930",77200.00
2026-07-25,East,Ada Okafor,direct,933,37320.00
2026-07-25,North,Ben Iyer,partner,914,36560.00
2026-07-25,South,Ben Iyer,web,"1,668",66720.00
2026-07-25,West,Cai Moreau,direct,"2,085",83400.00
2026-07-25,East,Cai Moreau,partner,"2,562",102480.00
2026-07-25,North,Dara Nkemi,web,"1,112",44480.00
2026-07-25,South,Dara Nkemi,direct,"1,015",40600.00
2026-07-25,West,Ada Okafor,partner,765,30600.00
2026-07-25,East,Ada Okafor,web,"1,377",55080.00
2026-07-25,North,Ben Iyer,direct,"2,413",96520.00
2026-07-25,South,Ben Iyer,partner,"1,226",49040.00
2026-07-25,West,Cai Moreau,web,"1,635",65400.00
2026-07-25,East,Cai Moreau,direct,975,39000.00
2026-07-25,North,Dara Nkemi,partner,"2,207",88280.00
2026-07-25,South,Dara Nkemi,web,927,37080.00
2026-07-25,West,Ada Okafor,direct,"1,196",47840.00
2026-07-25,East,Ada Okafor,partner,451,18040.00
2026-07-25,North,Ben Iyer,web,908,36320.00
2026-07-25,South,Ben Iyer,direct,"2,174",86960.00
2026-07-25,West,Cai Moreau,partner,"2,538",101520.00
2026-07-26,East,Cai Moreau,web,"1,647",65880.00
2026-07-26,North,Dara Nkemi,direct,"1,453",58120.00
2026-07-26,South,Dara Nkemi,partner,558,22320.00
2026-07-26,West,Ada Okafor,web,"1,357",54280.00
2026-07-26,East,Ada Okafor,direct,"1,137",45480.00
2026-07-26,North,Ben Iyer,partner,"2,446",97840.00
2026-07-26,South,Ben Iyer,web,"2,325",93000.00
2026-07-26,West,Cai Moreau,direct,"1,117",44680.00
2026-07-26,East,Cai Moreau,partner,"2,284",91360.00
2026-07-26,North,Dara Nkemi,web,"1,730",69200.00
2026-07-26,South,Dara Nkemi,direct,"1,564",62560.00
2026-07-26,West,Ada Okafor,partner,717,28680.00
2026-07-26,East,Ada Okafor,web,"1,670",66800.00
2026-07-26,North,Ben Iyer,direct,602,24080.00
2026-07-26,South,Ben Iyer,partner,"1,316",52640.00
2026-07-26,West,Cai Moreau,web,"1,302",52080.00
2026-07-26,East,Cai Moreau,direct,"2,188",87520.00
2026-07-26,North,Dara Nkemi,partner,"2,435",97400.00
2026-07-26,South,Dara Nkemi,web,389,15560.00
2026-07-26,West,Ada Okafor,direct,788,31520.00
2026-07-26,East,Ada Okafor,partner,568,22720.00
2026-07-26,North,Ben Iyer,web,"1,713",68520.00
2026-07-26,South,Ben Iyer,direct,"1,218",48720.00
2026-07-26,West,Cai Moreau,partner,"1,614",64560.00
2026-07-26,East,Cai Moreau,web,"1,710",68400.00
2026-07-26,North,Dara Nkemi,direct,"2,506",100240.00
2026-07-26,South,Dara Nkemi,partner,"2,486",99440.00
2026-07-26,West,Ada Okafor,web,514,20560.00
2026-07-26,East,Ada Okafor,direct,659,26360.00
2026-07-26,North,Ben Iyer,partner,470,18800.00
2026-07-26,South,Ben Iyer,web,310,12400.00
2026-07-26,West,Cai Moreau,direct,"1,000",40000.00
2026-07-26,East,Cai Moreau,partner,991,39640.00
2026-07-26,North,Dara Nkemi,web,"1,866",74640.00
2026-07-26,South,Dara Nkemi,direct,527,21080.00
2026-07-26,West,Ada Okafor,partner,"2,114",84560.00
2026-07-26,East,Ada Okafor,web,"2,433",97320.00
2026-07-26,North,Ben Iyer,direct,"1,417",56680.00
2026-07-26,South,Ben Iyer,partner,"1,957",78280.00
2026-07-26,West,Cai Moreau,web,"1,884",75360.00
2026-07-26,East,Cai Moreau,direct,918,36720.00
2026-07-26,North,Dara Nkemi,partner,379,15160.00
2026-07-26,South,Dara Nkemi,web,"2,227",89080.00
2026-07-26,West,Ada Okafor,direct,"1,779",71160.00
2026-07-26,East,Ada Okafor,partner,997,39880.00
2026-07-26,North,Ben Iyer,web,858,34320.00
2026-07-26,South,Ben Iyer,direct,967,38680.00
2026-07-26,West,Cai Moreau,partner,"1,278",51120.00
2026-07-26,East,Cai Moreau,web,"2,546",101840.00
2026-07-26,North,Dara Nkemi,direct,564,22560.00
2026-07-26,South,Dara Nkemi,partner,606,24240.00
2026-07-26,West,Ada Okafor,web,"1,161",46440.00
2026-07-26,East,Ada Okafor,direct,368,14720.00
2026-07-27,North,Ben Iyer,partner,965,38600.00
2026-07-27,South,Ben Iyer,web,436,17440.00
2026-07-27,West,Cai Moreau,direct,"1,424",56960.00
2026-07-27,East,Cai Moreau,partner,"2,258",90320.00
2026-07-27,North,Dara Nkemi,web,"2,454",98160.00
2026-07-27,South,Dara Nkemi,direct,"1,067",42680.00
2026-07-27,West,Ada Okafor,partner,612,24480.00
2026-07-27,East,Ada Okafor,web,565,22600.00
2026-07-27,North,Ben Iyer,direct,250,10000.00
2026-07-27,South,Ben Iyer,partner,"2,251",90040.00
2026-07-27,West,Cai Moreau,web,"1,860",74400.00
2026-07-27,East,Cai Moreau,direct,801,32040.00
2026-07-27,North,Dara Nkemi,partner,"2,275",91000.00
2026-07-27,South,Dara Nkemi,web,"1,659",66360.00
2026-07-27,West,Ada Okafor,direct,"1,120",44800.00
2026-07-27,East,Ada Okafor,partner,"1,677",67080.00
2026-07-27,North,Ben Iyer,web,"1,757",70280.00
2026-07-27,South,Ben Iyer,direct,685,27400.00
2026-07-27,West,Cai Moreau,partner,612,24480.00
2026-07-27,East,Cai Moreau,web,"1,021",40840.00
2026-07-27,North,Dara Nkemi,direct,"1,911",76440.00
2026-07-27,South,Dara Nkemi,partner,"2,303",92120.00
2026-07-27,West,Ada Okafor,web,"2,078",83120.00
2026-07-27,East,Ada Okafor,direct,"1,133",45320.00
2026-07-27,North,Ben Iyer,partner,851,34040.00
2026-07-27,South,Ben Iyer,web,"1,956",78240.00
2026-07-27,West,Cai Moreau,direct,196,7840.00
2026-07-27,East,Cai Moreau,partner,"2,530",101200.00
2026-07-27,North,Dara Nkemi,web,"2,038",81520.00
2026-07-27,South,Dara Nkemi,direct,"1,187",47480.00
2026-07-27,West,Ada Okafor,partner,439,17560.00
2026-07-27,East,Ada Okafor,web,"1,552",62080.00
2026-07-27,North,Ben Iyer,direct,"1,297",51880.00
2026-07-27,South,Ben Iyer,partner,"1,681",67240.00
2026-07-27,West,Cai Moreau,web,"1,499",59960.00
2026-07-27,East,Cai Moreau,direct,"1,197",47880.00
